doc                                            pg      OFF       ON    delta
gen2_042_Strategic_Plan                         2   0.9928   0.9947  +0.0019
gen2_078_Architecture_Decision_Record           1   0.9307   0.9328  +0.0020
gen2_050_Disaster_Plan                          1   0.9231   0.9252  +0.0021
gen2_043_Budget_Proposal                        1   0.9274   0.9295  +0.0021
gen_jp_manual                                   1   0.9754   0.9776  +0.0021
3a4f9fbe1a83_001620506                          1   0.9755   0.9777  +0.0021
29dc6e8943fe_order_01                           1   0.9767   0.9788  +0.0022
gen2_072_Project_Charter                        1   0.9166   0.9188  +0.0022
0e7af1ae8f21_20230331_resources_open_data_co    8   0.9819   0.9840  +0.0022
gen_tables                                      1   0.8878   0.8901  +0.0023
bd90b00ab7a7_order_05                           1   0.7996   0.8019  +0.0023
gen2_004_人事評価シート                                2   0.9656   0.9680  +0.0024
gen_jp_invoice                                  1   0.9844   0.9869  +0.0026
b837808d0555_20240705_resources_data_guideli    5   0.7503   0.7529  +0.0026
gen2_064_Terms_of_Service                       1   0.8728   0.8754  +0.0027
gen2_058_Customer_Survey_Results                1   0.8534   0.8561  +0.0027
e3c545fac7a7_LOD_Handbook                       9   0.8033   0.8060  +0.0027
gen_jp_notice                                   1   0.9864   0.9893  +0.0029
gen2_071_Root_Cause_Analysis                    1   0.9244   0.9274  +0.0030
gen2_048_Quality_Report                         1   0.8784   0.8814  +0.0030
gen2_070_Incident_Report                        1   0.9615   0.9646  +0.0031
gen2_069_Change_Request_Form                    2   0.9891   0.9923  +0.0032
gen2_037_管理職ハンドブック                              2   0.9636   0.9669  +0.0033
e3c545fac7a7_LOD_Handbook                      12   0.9870   0.9903  +0.0034
b837808d0555_20240705_resources_data_guideli    1   0.7978   0.8012  +0.0035
gen2_016_新商品企画書                                 2   0.9876   0.9911  +0.0035
gen2_034_クレーム対応マニュアル                            2   0.9885   0.9920  +0.0035
gen2_068_SOW_Template                           1   0.9029   0.9064  +0.0035
gen2_014_内部監査報告書                                2   0.9638   0.9676  +0.0038
gen2_049_Safety_Committee_Minutes               1   0.8914   0.8952  +0.0038
gen2_009_安全衛生委員会議事録                             2   0.9908   0.9947  +0.0039
